response,first variable has more,second variable has leftover (first is taken out),SS Model / PRE has different opportunity / variation to explain,overlapping variation,first gets overlap,sampling variation,reversed explanatory / outcome,one variable is better,coefficients change,misunderstood,did not attempt,qual vs quant,notes
"The SS is different because it is calculating the error reduced from the sugar percent and chocolate. If one inverses the order, it would have a different order (SS model reduced from Chocolate model to sugar percent model, or error reduced from sugar percent model to chocolate model).",1,1,1,0,0,0,0,0,0,0,0,0,
"Chocolate and sugarpercent may be vastly different because by changing the order you put it into R code, you're changing the which variable to add onto the next variable. It may have to do with which variable explains more variation. Because chocolate explains more variation in total, so when it's taken put into R code first, it explains most of the explanations between chocolate and sugarpercent which is also why the SS for sugarpercent is lower for the first model than the second one. But when sugarpercent is looked at first, it's can explain all the variation it possibly can and then chocolate comes in and explains the rest of the variation it can which is why sugarpercent is higher in the 2nd model than the first. This is also why the numbers are different between the two models depending what order it's put into the R.",1,1,1,0,1,0,0,0,0,0,0,0,
"I think that the SS is different for chocolate and sugarpercent because maybe the first variable used in the model is calculated before the second one, making more of the explanation fall on it. The second variable might account for the remaining explanation left to cover, much like a residual.",1,1,0,0,0,0,0,0,0,0,0,0,
The SS total is the same because it's the same outcome variable. The reason the SS for chocolate and sugarpercent are different in each model is because whichever is first has residuals from the empty model and second has residuals from the first variable. So they change if their order changes.,1,1,1,0,0,0,0,0,0,0,0,0,SS Total stays the same
"It seems as if whenever a variable comes first, it explains more variation (that variable, they still equal the same SS Model) than if it had come second. Perhaps its because somehow the first variable explains more variation for some reason? In all honesty im not sure, im curious as to why though.",1,0,0,0,0,0,0,0,0,0,0,0,
we are comparing choc. to sugar% on one and sugar% to choc. on another.,0,0,0,0,0,0,0,0,0,0,0,0,
The SS for chocolate and for sugarpercent models are quite different across these models due to the the different variables being used within the models. The SS for chocolate would vary from the SS of sugar percent since there are different values in addition to differences in variation.,0,0,1,0,0,0,0,0,0,1,0,0,different variables
The means are different when you reverse the order,0,0,0,0,0,0,0,0,1,0,0,0,different means
"It might be due to the R codes' certain calculating sequence. The variable on the top of the other might be calculated first, so it gets a relatively bigger SS. I can't see exactly the reasons for the difference, but if I have the exact calculating logic I might be able to say more about it. It seems doesn't matter a lot in the final result of comparing models.
Anyway, thank you so much for the lectures throughout this term. I just want to say I appreciate it a lot. I guess I did great on this exam and I am now done with finals~ Wish you and me a great Christmas! Hooray! Happy winter vacation!",1,0,0,0,0,0,0,0,0,0,0,0,
"This is because they reduce the variation in the empty model in different orders, creating a new mathematical function for the two different models, creating different values of SS when calculated.",0,0,1,0,0,0,0,0,0,0,0,0,
They might be different because if the order they were placed in. The chocolate might be more than sugarpercent and they way they were calculated for the GLM notation made the values different for both models.,0,0,0,0,0,0,0,1,0,0,0,0,
it seems as though in the second one sugarpercent is accounting for more of the explained variation than it did in the first one. my guess as to why this is is because sugarpercent is being used as the primary reason for variable explanation whereas chocolate is the primary one in the first one.,0,0,1,0,0,0,0,1,0,0,0,0,
"This is a guess - is it because when you switch the order of the variables it switches the order of the explanatory variable that is right next to winpercent? ie: winpercent~sugarpercent versus winpercent~chocolate
And then in turn this would change R's interpretation of the input.",0,0,0,0,0,0,0,0,0,0,0,0,
"This is just an estimate, when you switch the order of the variables it changes which one is the explanatory and which one is the outcome which then makes the SS different for these models.",0,0,0,0,0,0,1,0,0,0,0,0,
"It seems that either way the two numbers will add up to the SS error. The only difference is whether or not chocolate is in front of sugarpercent or vice versa. Perhaps the difference has something to do with how supernova calculates the model, because the lm() output is still the same.",0,0,0,0,0,0,0,0,0,0,0,0,
"i think that they are so different because for each of these two-factor models, the PRE and F are changing as well. So, clearly the order in which the model runs is affected. Like, specifically for chocolate...the error is reduced more and the variation is explained more in the winpercent~chocolate+sugarpercent more than the vice versa one.",0,0,0,0,0,0,0,0,0,0,0,0,
"I think it is because these two models are calculating slightly different data values across the two of them and possibly in a different order. Also, one of the models explains more variation than the other and has less leftover error than the other.",0,0,0,0,0,0,0,1,0,0,0,0,
They are different because they are not correlated.  They both are explaining winpercent not explaining each other,0,0,0,0,0,0,0,0,0,0,0,0,
"SS total, model, and error are similar across the two models because they are based on the same outcome variable winpercent. SS is calculated differently and instead entails the total squared deviations from the mean in squared units. This is why it is quite different across the models; they deal with different data values within themselves that lead to different calculations.",0,0,0,0,0,0,0,0,0,0,0,0,different values
I think this is because you changed the order of in which you entered it in the category.,0,0,0,0,0,0,0,0,0,0,0,0,
"While the SS Total and the SS Error are the same across both models, it seems as though the SS Model differs. This difference might be due to putting them in reversed order. When switching the order the distance between the complex model's prediction and empty model's prediction changes.",0,0,0,0,0,0,0,0,0,0,0,0,
Each one of these assumes a variable being explained by the other. This means that the differences in SS for chocolate and sugarpercent result in how they relate to each other.,0,0,0,1,0,0,0,0,0,0,0,0,
reversing the order makes it so the explanatory variable for the second one is chocolate. it creates randomization.,0,0,0,0,0,0,0,0,0,0,0,0,
"In both tables they reduce the same amount of error by using the complex model. As, we switch the explanatory variables the variation explained by the models changes as well. This may be due to the switch the data in Yi = 38.26211 + .08567X1i +18.27331X2i + ei from Yi = 38.26211 + 18.27331X1i + .08567X2i. :)",0,0,0,0,0,0,0,0,0,0,0,0,
"im not sure, but i assume that since sugarpercent's p value is higher than .05, that means that theres a chance the variablity that it explains are actually by chance not correlation. so changing the order of the addition may not be the thing changing the values, it may be the variation explained by sugarpercent",0,0,1,0,0,0,0,0,0,0,0,0,p-values
"They have the same outcome variable, but an added parameter estimate reduces more error.",0,0,0,0,0,0,0,0,0,0,0,0,
"The SS although different across models does tend to follow a similar trend. With chocolate explaining more variation than sugarpercent alone. I feel like in this situation perhaps the relationship is being broken, similar to if you used the shuffle() function. It is however very interesting that the PRE is the same for the overall model, but differs as-well for each specific model. I feel like this may also be due to the brakeing of the relationship like shuffle.",0,0,0,0,0,0,0,0,0,0,0,0,similar to shuffling
Possibly they are being coded differently in the second method,0,0,0,0,0,0,0,0,0,0,0,0,coded differently
"For SS model, error and total, the outcome variables are the same so their variables are going to be the same. However, the way SS is calculated for chocolate and sugarpercent are the inverses of each other.",0,0,0,0,0,0,0,0,0,0,0,0,SS is calculated differently
The SS are different across these models because the order in which the error is being calculated is different. This means the differences vary yet the total remain the same.,0,0,0,0,0,0,0,0,0,0,0,0,
"Basically order matters because whatever variable is placed first will explain its variation and the second variable will also explain its variation, but it will not overlap and explain the variation the first variable already explained. Essentially the SS of the explanatory variables will still add up to the SS Model.",1,1,1,1,1,0,0,0,0,0,0,0,
They may be explaining variation in different ways. The SSModel for chocolate is higher than that of sugarpercent. This means Chocolate explains more variation from the empty model than sugarpercent.,0,0,0,0,0,0,0,1,0,0,0,0,
The F values range by quite a bit.,0,0,0,0,0,0,0,0,0,0,0,0,
Chocolate reduced more error in both because chocolate has a parameter estimate that is quite large.  The difference can also be attributed to random sampling variation.,0,0,0,0,0,1,0,1,0,0,0,0,
"In the chocolate model, the mean chocolate is the b0 and in the sugarpercent model, the mean of sugarpercent is the b0. The swapping of these variables results in different scores, as the models are measuring different means.",0,0,0,0,0,0,0,0,1,0,0,0,
"not sure, might be because of chocolate and sugar percent are correlated with each other, so if we start off using chocolate then some portion of the total sugar has already been used (and thus excluded from the value of sugar%) and vice versa",1,1,1,1,1,0,0,0,0,0,0,0,
because whatever comes after the ~ is the explanatory variable and i think that the computer is telling us that when we put chocolate first it reduces the error then reduces it again after that with sugarpercent meaning that 7368 was reduced with the chocolate first then 487 was reduced next with the sugarpercent. For the second model where we ran sugarpercent first then chocolate next the model was first reduced by sugar percent then reduced by chocolate but they still reduce the total same amount of error just different numbers because of which was reduced first,1,1,1,0,0,0,0,0,0,0,0,0,
The SS model is the is the difference between the complex models prediction to the empty models prediction. We see that both tables have the same overall SS model amount but there is a difference between the SS model of chocolate and sugarpercent. The reason for the difference may be because chocolate  is a better mean when making a prediction for winpercent but still creates a model with a higher Sum of squares.,0,0,0,0,0,0,0,1,0,0,0,0,
"Depending on the order of whether chocolate or sugarpercent comes first, the model would have different values for Xi for both variables. The predicted model of each individual variable (chocolate or sugar percent) would be different across the two models, therefore producing a different SS model.",0,0,0,0,0,0,0,0,1,0,0,0,
"I am not exactly sure, but I think that the SS for chocolate and for sugar percent are quite different across these models because they explain more error.",0,0,0,0,0,0,0,0,0,0,0,0,
"Maybe it is because the variable ""chocolate"" includes part of the variation in ""sugar percent"". A candy can both possess a certain amount of  ""sugar percent"" and be a chocolate at the same time. Maybe there are some variations overlapping here.",0,0,0,1,0,0,0,0,0,0,0,0,
"I don't really know, but I am imagining if I do the experiment, the fact that a candy has sugar would bother me, but if it has chocolate (and a lot of sugar). I wouldn't quite mind.",0,0,0,1,0,0,0,0,0,0,0,0,
there is more explanation for chocolate,0,0,0,0,0,0,0,1,0,0,0,0,
The SS model is different between the two variables because they explain different amounts of variation. The SS model for chocolate explained more variation from the total than the SS model for sugarpercent.,0,0,0,0,0,0,0,1,0,0,0,0,
"When you change the order of the explanatory variables in the GLM, the values change for the coefficients. The changed values of the coefficients will change the given outcome variable's value (Yi). Since, Yi's distance is used to calculate the SS, a different value of Yi will result in different values of SS. The SS total, SS error, and SS model is similar because you use the same data.",0,0,0,0,0,0,0,0,1,0,0,0,
"BC with the winpercent~sugarpercent + chocolate model, sugar is being accounted for whenever a candy has chocolate as opposed to in the winpercent~ chocolate + sugarpercent model, it is not.",0,0,0,0,0,0,0,0,0,0,0,0,only calculating sugar when chocolateTRUE
"They're different because it depends on which model is the main one being added. Although the SS total ends up being the same, depending on which model is primary, it takes more Error or Model. For example, with the bottom model, it has sugarpercent as b1, resulting in chocolate to have a greater SS model because it means there would be more error reduced, subsequently.",0,0,0,0,0,0,0,1,1,0,0,0,
because each model is explaining the data differently.,0,0,0,0,0,0,0,0,0,0,0,0,explains the data differently
Those are different due to the order of the explanatory variable and also it is randomized.,0,0,0,0,0,0,0,0,0,0,0,0,similar to shuffling
"I think this might be because the SS represents the part of total error explained by the model, and in one model the chocolate is explaining sugarpercent, and the other, sugarpercent is explaining chocolate.",0,0,1,0,0,0,0,0,0,0,0,0,the predictors explain each other
"Although coming from the same outcome variable, chocolate and sugarpercent's SS are different from each other because of their placement. Their placement indicates their model values and because R pays close attention to detail, it;s going to change up the value if the placements are changed.",0,0,0,0,0,0,0,0,0,0,0,0,
One variable has more error left unexplained than the other one.  Chocolate has a higher SS in both models which means it explains more variation.,1,1,0,0,0,0,0,1,0,0,0,0,
"The SS is based on outcome variables, and even though the outcome variable is the same, by switching the order of the explanatory variables it changes what numbers are being divided by which. Overall, it still gives you the same answer.",0,0,0,0,0,0,0,0,0,0,0,0,
It might be because error is being reduced as much as it can for both parameters.,0,0,0,0,0,0,0,0,0,0,0,0,
The ss is different across these models because they are different explanatory variables.,0,0,0,0,0,0,0,0,0,1,0,0,different variables
"The SS for chocolate and sugarpercent are different because of one variable might explains more variation than the other. The SS total is the same because the outcome variable and empty model are the same, and the SS from the empty model remains unaffected by adding an additional explanatory variable. SS takes into consideration deviation from the mean, and I would think that chocolate and sugarpercent both have different standard deviations.",0,0,0,0,0,0,0,1,0,0,0,0,
Two F ratio's are very different from the chocolate first model because F ratio is based on variances rather than the SSs in the same model.,0,0,0,0,0,0,0,0,0,0,0,0,
"since the SS total and SS model are the same, i assumed it might be the difference between how people rate each based on the sequence",0,0,0,0,0,1,0,0,0,0,0,0,
"because they process one model first before the other. Therefore, if the first model already explains the error, the second one will not be used. Therefore, there will always be a decrease in the second model because r will try to process each data in the order of the models listed.",1,1,1,0,0,0,0,0,0,0,0,0,
It could be accounting for the sugar in chcooalte,0,0,0,1,0,0,0,0,0,0,0,0,
"The SS for chocolate and for sugarpercent are different across the models because these two are most likely confounding variables. Because it's possible that chocolate correlates with the amount of sugar, it makes sense that when you switch the order, the amount of SS it accounts for will vary. However, the same amount of SS error remains the same because it ends up balancing out.",0,0,0,1,1,0,0,0,0,0,0,0,
because they are different variables,0,0,0,0,0,0,0,0,0,1,0,0,different variables
"The SS for the two variables are different across the models because it changed the order in which the variables were considered in the equation. By placing sugar percent before chocolate, it was looked at first and then chocolate was looked at.",0,0,0,0,0,0,0,0,0,0,0,0,
The distance from the group mean will be different for each explanatory variable depending on which explanatory variable is b0 and which one is b1 in the GLM notation.,0,0,0,0,0,0,0,0,1,0,0,0,
Perhaps there is a difference between SS for chocolate and for sugarpercent because of the type of variable they are. The empty model of the outcome variable remains the same with each different explanatory variable thus the SS around the empty model stays the same but  when the explanatory variable is categorical (chocolate) we can use group means as our model but when the explanatory variable is quantitative (sugarpercent) we can not use group means to predict new scores since there are no groups.   Perhaps this difference in variables makes a difference in SS across the models. I am not too sure.,0,0,0,0,0,0,0,0,0,0,0,1,
There is high amounts of residuals between the mean and the points.,0,0,0,0,0,0,0,0,0,0,0,0,
It could be due to sample variations when the second model was created.,0,0,0,0,0,1,0,0,0,0,0,0,
"The sum of squares is larger in larger samples. Chocolate's SS is larger because there was more candy which had chocolate. Moreover, the SS of both variables are a little different because of variation. The",0,0,0,0,0,1,0,0,0,0,0,0,
"I think when we use the winpercent~chocolate+sugarpercent, we try to explain the error with chocolate first, then with sugarpercent. If we alternate it, it will be sugarpercent that explains the error first, then chocolate. Whichever is the second item to help explain, will have a little less than if they were the first as the first item has explained the error before then second.",1,1,0,0,0,0,0,0,0,0,0,0,
The SS for chocolate and for sugarpercent may be quite different due to the fact that one model explains more variation than the other.,0,0,0,0,0,0,0,1,0,0,0,0,
"The SS for chocolate and for sugarpercent are quite different across these models because data is switched around. It is possible that it is being shuffled and due to sampling variation we get different results. If we add explanatory variable it will never change, however the outcome variable will help partition.",0,0,0,0,0,1,0,0,0,0,0,0,similar to shuffling
"Since chocolate and sugarpercent have different variance, the sum of area of all squares (SS) will be different.",0,0,0,0,0,0,0,0,0,1,0,0,different variables
One variable explains more variation than the other.,0,0,0,0,0,0,0,1,0,0,0,0,
"SS is how much total error we have to explain, the SS for chocolate and sugarpercent are quite different because they have different explanatory variables.",0,0,0,0,0,0,0,0,0,1,0,0,
It is different because of the fact that the first anova does a better job of explaining the variation in the outcome variable by the explanatory variable.,0,0,0,0,0,0,0,0,0,0,0,0,first ANOVA was better
"The SS for chocolate and sugar percent have different means, which when thinking in terms of residuals different means, mean that the residuals are different and when you square these residuals then the SS for chocolate and sugar percent would be different.",0,0,0,0,0,0,0,0,0,1,0,0,different means
"not sure, the sample sizes for each are different?",0,0,0,0,0,0,0,0,0,0,0,0,different sample sizes
"While chocolate and sugarpercent are both explanatory variables in both models, the order that they are being used in the GLM notation is not the same. The GLM notation varies depending on the model, such as the increment  that is being added. One variable is emphasized more.",0,0,0,0,0,0,0,1,1,0,0,0,
"The difference for the SS for chocolate and for sugarpercent most likely has occurred due to the different types of variables- chocolate is categorical and sugarpercent is qualitative. b1s for these variables are different; therefore, this resulted in difference in the SS.",0,0,0,0,0,0,0,0,1,0,0,0,quantitative vs qualitatinve
"when we add another predictor to the one we already have, the new predictor would be explains the leftover errors that are not explained by the previous  predictor.",1,1,1,0,0,0,0,0,0,0,0,0,
The SS for chocolate and sugarpercent are different across these models because the area of these sum of squares are not relative to the complex model which then leads to less variation.,0,0,0,0,0,0,0,0,0,0,0,0,
"before answering this question I want to apologize for forgetting in a previous question to write the GLM notation correctly, so if it is possible I will write it here again:
yi=b0+b1*xi1+b2*xi2
Now, to answer this above question, it could be due to random sampling variation as usual, also, could be due to simultaneity.  
",0,0,0,0,0,1,0,0,0,0,0,0,
"It may be that one variable explains more variation in candy rankings than another. The SS total is meant to explain variation in the data set, and the sugarpercent is a better predictor overall (looking at the SS total, error, and model).",0,0,0,0,0,0,0,1,0,0,0,0,
Because whichever variable is placed first accounts for variation first. The one that goes second accounts for whatever variation it can explain that isn't explained by the first variable.,1,1,0,0,0,0,0,0,0,0,0,0,
"I think the SS for chocolate and sugarpercent are different because while the concept is the same, the order or the equation is different.",0,0,0,0,0,0,0,0,0,0,0,0,
The difference is caused by the outcome variable. The reversed explanatory variables produce has outcome variable therefore produced different ss,0,0,0,0,0,0,0,0,0,0,0,0,
"This might be a result of variability and these scores just happened to change at this point. In relation to how it is added, that might have affected the results.",0,0,0,0,0,1,0,0,0,0,0,0,
The sum of squares is different because we are analyzing the values on two different slopes.,0,0,0,0,0,0,0,0,0,0,0,0,different slopes
The order of which the variables applied affects the amount of unexplained variation leftover when the other variable is applied.,1,1,0,0,0,0,0,0,0,0,0,0,
"the reason this is happening is because if you move the variables around like this, R does not know which is the explanatory variable and which is the outcome. This is the reason we have the tilda to separate. the outcome goes on the left and the explanatory on the right",0,0,0,0,0,0,1,0,0,0,0,0,
It's possible that one variable is better at explaining variation than the other; SS  is typically lower when more variation is explained.,0,0,0,0,0,0,0,1,0,0,0,0,
THis might be because of order of operations or something??,0,0,0,0,0,0,0,0,0,0,0,0,order of operations
SS might be different because one of the predictors/explanatory variables (chocolate or sugarpercent) may account for more error in the empty model than the other.,0,0,0,0,0,0,0,1,0,0,0,0,
there is an overlap between the the deviations explained by chocolate and sugarpercent; which ever variable comes first will explain this overlap and the second will not,1,1,1,1,1,0,0,0,0,0,0,0,
"which ever variable is put first, explains more error  or is prioritizied in explaining error.",1,0,0,0,0,0,0,0,0,0,0,0,
"Since they are increasing, the models are changing",0,0,0,0,0,0,0,0,0,0,0,0,
Blah,0,0,0,0,0,0,0,0,0,0,0,0,did not attempt
It's different because you changed the outcome variable and the input.,0,0,0,0,0,0,1,0,0,0,0,0,
Because running one model first reduces error according to that model. There are different values then for the next parameter to affect.,1,0,1,0,0,0,0,0,0,0,0,0,
"The SS for chocolate and sugarpercent are different because in the first case, some of the error has already been explained by chocolate when sugarpercent is added. So the error left to be explained by sugarpercent is less and thus actual error explained by sugarpercent is less. In the second case, the opposite happens, and there is less error left to be explained by chocolate. Thus actual error explained by chocolate is also less.",1,1,0,0,0,0,0,0,0,0,0,0,
I think that is because chocolate has a lowered SS because it received a higher score. Whereas the SS for sugarpercent has is higher because it received a lower score.,0,0,0,0,0,0,0,0,0,0,0,0,
"The SS is different due to the order in which each respective variable is calculated which results in varied residual stats. While the individual model SS may be different, it does not matter in the grand scheme of things as we are analyzing this model by combining both factors and the PRE, SS model, SS error, SS total, and all 3 of the parameter estimates are the same.",0,0,0,0,0,0,0,0,0,0,0,0,
"when sugarpercent goes first it tries to explain as much variance of the data as possible, so it becomes greater than when it goes second. I think this happens because there is some relationship between sugarpercent and chocolate, so the chocolate can explain some variability of the data that can also be explained by sugarpercent",1,0,0,1,0,0,0,0,0,0,0,0,
I don't know. Maybe the two variables confound each other?,0,0,0,1,0,0,0,0,0,0,0,0,
because of sampling variance?,0,0,0,0,0,1,0,0,0,0,0,0,
"I think it's because of the order that the parameters are added into the model. After the chocolate parameter is added in, the sugarpercent parameter can only explain error from the error that is leftover from the chocolate model, and vice versa.",1,1,0,0,0,0,0,0,0,0,0,0,
"I am not sure. Chocolate seems to have more error reduced, thus the order somehow affects this.",0,0,0,0,0,0,0,1,0,0,0,0,
"I think that the model is assessing the reduction in error from chocolate first in the first model, then the error reduction from sugarpercent, and visa versa for the second one, so the different comes in the amount of error left to be explained by the second explanatory variable after the first variable is considered",1,1,0,0,0,0,0,0,0,0,0,0,
because for the second scenario they are completely different explanatory variables. For the first case they both are used,0,0,0,0,0,0,0,0,0,1,0,0,different variables
"This might be happening because the two variables could have an effect on each other, therefore causing different SS values. Essentially, the two variables are interfering with each other.",0,0,0,1,0,0,0,0,0,0,0,0,
"The chocolate-first model calculates the SS for chocolate before taking into account the sugar percentage, then calculates the remaining SS, while the sugarpercent-first model calculates the SS for sugarpercent before taking into account the chocolate. Thus, although these SS add up to be the same, the SS for each explanatory variable will be different.",1,1,0,0,0,0,0,0,0,0,0,0,
"This is due to the order in which R coded the variables. In the first example, the equation has the chocolateTRUE as b1, with sugarpercent as b2. In the second, the equation has sugarpercent as b1, and chocolateTRUE as b2. Since we didn't change the values for Xi and Xi2 after changing the order of the variables, the wrong intervals to add on to b0 are being added, therefore the SS values differ throughout both trials.",0,0,0,0,0,0,0,0,1,0,0,0,
This happens because the second explanatory variable explains only the unexplained error leftover after the first explanatory variable in order to prevent repeat counts,1,1,0,0,0,0,0,0,0,0,0,0,
One calculation is being processed first....the base value of b0 is either added the b1 increment of chocolate first or the slope product of sugar-percent...which limits the subsequent's variable's explanatory behavior,1,1,0,0,0,0,0,0,0,0,0,0,
This is because the SS is the distance from the model to the empty.model. Reversing the equation would cause the values for chocolate and sugar percent to change because you are essentially changing each models distance from the empty model.,0,0,0,0,0,0,0,0,0,0,0,0,changing the distance to the empty model
I think this might be because the order which you list the explanatory variables will change how much error is explained from the model. Chocolate overall explains more variation than sugarpercent.,0,0,0,0,0,0,0,1,0,0,0,0,
"Since they are being applied in different orders, the percentage of the explanation of the variation is changed and so the middle values are different, but since overall the change in variation is being explained by the same two explanatory variables, they yield the same end results.",0,0,1,0,0,0,0,0,0,0,0,0,
"This difference in SS for chocolate and sugarpercent is caused by the order of operations being performed. It makes sense that despite the order you put them in, SS model (and thus SS total and SS error) remain the same. The difference we see in SS for chocolate and sugarpercent comes from how much variation they explain in their respective models.

In the first example, SSchocolate tells us how much variation chocolate explains compared to the empty model, and then SSsugarpercent tells us how much variation in the CHOCOLATE model is explained by sugarpercent. Hence, this value is different from its vice versa operation, where SSchocolate tells us how much variation in the SUGARPERCENT model is explained by chocolate.",1,1,1,0,0,0,0,0,0,0,0,0,order of operations
Because chocolate on its own explains more variation than sugarpercent,0,0,0,0,0,0,0,1,0,0,0,0,
Chocolate is a predictor than sugar percent and choclate is also a better outcome variable than sugarpercent,0,0,0,0,0,0,0,1,0,0,0,0,
The SS for chocolate and sugarpercent are different because they are different explanatory variables.,0,0,0,0,0,0,0,0,0,1,0,0,different variables
"I think that the order of the variables when creating the regression line creates a difference in the layout of the residuals, thus causing there to be slightly different values for their SS. However, those values will still add up to the same SS total and have the same SSerror because they are the same model.",0,0,0,0,0,0,0,0,0,0,0,0,different residuals
"Whichever value is listed first will explain the most variation it can, then the other will follow. So chocolate will explain more variation if it is listed before sugarpercent than after, and vice versa",1,1,0,0,0,0,0,0,0,0,0,0,
The SS for chocolate and sugarpercent should be different because of sampling distribution. We notice that SS for chocolate is always higher than the SS for sugarpercent throughout all the models. These fluctuations are due to random chance.,0,0,0,0,0,1,0,0,0,0,0,0,
It could be different depending on which SS is calculated first. If SS chocolate is calculated first that will change the SS for sugarpercent and vice versa.,0,0,0,0,0,0,0,0,0,0,0,0,
It may be in the order that it was computed.,0,0,0,0,0,0,0,0,0,0,0,0,
one of the models explains more variation than the other,0,0,0,0,0,0,0,1,0,0,0,0,
"I think whichever factor comes first explains most of the error already, so whichever factor is added after will have less of an SS model total as there is less error left to explain, and it's likely that chocolate and sugarpercent are related in some way as well.",1,1,1,1,0,0,0,0,0,0,0,0,
"Maybe Error reduced takes into account the explanatory variable listed first, so when chocolate is listed first, it explains more error than when it is listed second. The second listed explanatory variable is reducing the remaining error after the first one has reduced the initial error.",1,1,1,0,0,0,0,0,0,0,0,0,
"By putting chocolate as the first predictor, it explains a lot more of the variation that putting sugarpercent first in the model. This caused SS chocolate for the first model to be greater than SS chocolate for the second model.",1,0,0,0,0,0,0,0,0,0,0,0,
The sugarpercent is explaining part of the variation first and then the chocolate is explaining variation leftover after the sugarpercent model.,1,1,0,0,0,0,0,0,0,0,0,0,
"This occurs because one of the explanatory variables explains more variation than the other, however they both contribute to explaining variation. The SS error reduced for chocolate is much larger than it is for sugar percent because chocolate explains more variation, thus reducing more error.",0,0,0,0,0,0,0,1,0,0,0,0,
"This might be because you are switching what the explanatory variable is. After the first variable (chocolate) explains variation, then there is less variation for sugarpercent to explain.",1,1,0,0,0,0,1,0,0,0,0,0,
The model uses the first variable a little more than the second variable as noted by the different p variables. Could be a type 1 error.,1,0,0,0,0,0,0,0,0,0,0,0,type 1 error; p-values
"Sugarpercent seems to account for more variability when it is presented first. This may be because there are some overlap in the way the two variables explain the data. Therefore, R probably accounts for that overlapping variability by the explanatory variable that is presented first.",1,1,1,1,1,0,0,0,0,0,0,0,
The intercepts are different as a different explanatory variable is considered first. So the data will take into account the effect of one variable first which is different for each situation and then effect of the other afterwards,1,1,0,0,0,0,0,0,1,0,0,0,different intercepts
"choco probably explains some variation in sugarpercent so depending on which variable was put first, that might affect how much variation the subsequent variable explains",0,0,0,1,0,0,0,0,0,0,0,0,predictors explain each other
"This is because the explanatory variable that is run first always explains a greater proportion of the variance, leaving less left over for the other explanatory variable.",1,1,0,0,0,0,0,0,0,0,0,0,
"The SS for chocolate and for sugarpercent are different because the order of the complex models matters. The two-factor model would base how much variation is explained based off the previous model it just evaluated before. The first case evaluates how much sugarpercent can explain the model based on how much chocolate has, while the second one is reversed.",1,1,1,0,0,0,0,0,0,0,0,0,
"I think this could be due to random sampling variation, and not so much that you changed the order of the parameters in our code. I think the element of chance is getting involved here and changing the specific values we are getting by a little bit, however the overall trends from before seem to hold.",0,0,0,0,0,1,0,0,0,0,0,0,
"These numbers are different because in one case, sugarpercent is explaining leftover SS from the chocolate model, and in the other case, chocolate is explaining leftover SS from the sugarpercent model.",1,1,1,0,0,0,0,0,0,0,0,0,
Maybe it is because of which mean they are choosing to use first to explain variation. Since that would be different for wether you choose chocolate or sugar percent first the b1 would be different and the b2 would be different and the whole rest of the model would be off.,0,0,0,0,0,0,0,0,1,0,0,0,
"This might be because the sum of squares increases as variation increases. If the model is changing the order of chocolate and sugarpercent, the variation is different according to each variable, so it could allow SS to fluctuate according to which one goes first.",0,0,0,0,0,0,0,0,0,0,0,0,order changes variation
"I think that R is running the code in order, first determining how much error is reduced from adding the first explanatory variable and then seeing how much error is reduced from the subset of the original sample that has already been affected by the first explanatory variable. (for example, calculating ss error for winpercent as explained by chocolate, and then calculating the remaining ss error for candies whose winpercent has already been affected by chocolate)",1,1,1,0,0,0,0,0,0,0,0,0,
"This may have occurred because a certain amount of error is reduced by one of the parameters more than the other parameter. So when the parameter that reduces error the most is run first, the second parameter does not reduce as much error. Likewise, if the parameter that reduces error least is run first, the second parameter will reduce more error as a result.",1,1,0,0,0,0,0,1,0,0,0,0,
The have group means that are closer to the actual values than the empty model so there would be different SS's,0,0,0,0,0,0,0,0,0,0,0,0,group means farther from the empty model
"the program is probably calculating the error/variation reduced by either chocolate or sugarpercent (depending on which is placed first in the code) and then calculating the error reduced by the second variable after, which can cause the differences seen in the tables above",1,1,0,0,0,0,0,0,0,0,0,0,
This may be due to sample variation as well as the fact that some chocolates have a higher sugar percent so when sampled and finding the amount of error explained by chocolate first can be higher since it takes away from the variation explained from sugar percent for that specific data.,0,0,0,1,1,1,0,0,0,0,0,0,
The way that the model is split up makes a difference. Chocolate seems to have more of an effect?,0,0,0,0,0,0,0,1,0,0,0,0,
"In the second model, sugarpercent would reduce more error because it is the first variable in the complex model, and thus there is more error to reduce from the empty model. Subsequently, chocolate would reduce less error in the second model because there is less error leftover after sugarpercent reduces a portion of the error. In the first model, this is reversed, with chocolate first reducing the error from the empty model, thus having a bigger SS, and then sugarpercent reducing the subsequent error, which in turn will be smaller.",1,1,0,0,0,0,0,0,0,0,0,0,
chocolate is not being coded for as true/false but instead as a value,0,0,0,0,0,0,0,0,0,0,0,0,chocolate is coded differently
"SS is the sum of the squares of the residuals from data points to the model prediction. Reversing the order of sugarpercent, which is a quantitative variable, and chocolate, which is a group variable, will result in different shapes of squares because of the way how they represent different data points. Thus, the SS for chocolate and for sugarpercent are quite different across these models while others remain the same.",0,0,0,0,0,0,0,0,0,0,0,1,
"These are different because running chocolate first or sugar percent first, explain variation on their own and then adding another variable upon that also explains variation based on what is left over from the first variable. Because they explain different amounts of variation, what is left over is explained in different amounts by the variables and thus the SS for chocolate and the SS for sugarpercent are different.",1,1,0,0,0,0,0,0,0,0,0,0,
