response,multiple explanatory variables /more complex,explain more variation/error,ss model larger,ss total same,less error left,not necessarily better,cost of variables,overlap,pre larger,distance to model / deviation from the model,combined models,reducing empy model error,statistically significant predictors,better predictions,notes
"Given the SS total stays the same, the higher SS model is, the lower SS error should be. A two-predictor model should be better than any of the two one-predictor models because it can explain more variance and make better predictions by adding an explanatory variable. Therefore a better model, which is the two-predictor model,  leads to a higher SS model. If more variations are explained by the two-predictor model, a less amount of error should be leftover, which leads to a lower SS error.",1,1,1,1,1,0,0,0,0,0,0,0,0,0,
"This is true because there is more parameters and more variation explained by the model, increasing the SSmodel, thus decreasing the amount of error left over (SSError).",1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"I think this is true because since you are adding an extra parameter to the model, your SS error should be lower. The extra parameter should explain more variation in the new model.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"since SSerror is the amount of error leftover and not explained by the model, we would expect the SS error to be less for the two predictor modelnsince it is a better model and explains more variation",0,1,0,0,1,0,0,0,0,0,0,0,0,0,
"This makes sense because the SS error is the amount of error left unexplained from the empty model. In other words, the two-predictor model should have a lower SS error because adding an additional variable will explain more variation.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
I think this is true because there would be more variation explained due to the use of more groups to explain the variation.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because the more variables that you add, the more the overall error will be reduced. Having an explanatory variable almost always reduces some of the error in the empty model.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because combining the two models that already explain more variation than the empty model will decrease the error. Also, the higher SS Model, the lower the SS error.",0,1,1,0,0,0,0,0,0,0,1,0,0,0,
"Because the SS error is the leftover variation after adding in an explanatory variable, and because there are two explanatory variables in this case, more of the variation is likely to be explained and, therefore, there should be less error leftover.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
The two-predictor model has a lower SS error because there are two variables that account for variation therefore there is less error,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"I believe this is true because SS Error is based on the residuals of the complex model. Since the two predictor model is more complex than either chocolate and sugarpercent, more variation would be accounted for and would therefore further reduce the amount of error.",1,1,0,0,1,0,0,0,0,0,1,0,0,0,
"Because you are using more explanatory variables, you would most likely explain more of the variation , therefore decreasing the error.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"I think the two-predictor model should have a lower SS error than either of the other models because it will likely show a decrease in the distance from the data and the complex model. In other words, there is a good chance that more error will be explained by having an additional explanatory variable in the two-predictor model.",1,1,0,0,0,0,0,0,0,1,0,0,0,0,
SS Error is the distance from a data point to the mean of the complex model. If the new model is going to explain a lot of variation then SS Error is going to decrease because more variation is explained by the new model.,0,1,0,0,0,0,0,0,0,1,0,0,0,0,
It would be lower because another parameter is being added and more variation would be explained.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"By adding another variable, in general, is more likely that it will explain more variation. It is rare that adding another variable will not reduce the SS error.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"you are adding more parameters, and the more complex your model is the less SS error you are going to have, because more variation can be explained",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
The two-predictor model should be able to explain more error and variation than both the chocolate model and sugar percent model.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"I think this is true because the two-predictor model includes both the chocolate and sugarpercent model. Therefore, it should reduce more error (have less error left over) than either the chocolate model alone or the sugarpercent model alone, since it is a combination of the two.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,
"Because if you are using two explanatory variables, and they both have high F Ratio, relatively high SS model , and high PRE with a p<.05, two explanatory variables put together are going to explain more of the variation in winpercent than using just one. As Dr. Stigler said, most explanatory variables are not so shitty that they explain 0 variation in the outcome variable. Some explanation is better than the same value for each winpercent regardless of explanatory like the empty model, most of the time this is shown to be true. It's kind of like the two heads is better than one concept but with statistics and two explanatory variables.",1,1,0,0,0,0,0,0,0,0,1,0,0,0,
Adding a parameter adds a degree of freedom and gives us another way to explain some of the variation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,degree of freedom
"This is because more error is explained by the 2 additional parameters (higher PRE). Because more error is explained, there will be less residual error overall. Thus, the sum of the squares of these errors will also be less.",1,1,0,0,0,0,0,0,1,0,0,0,0,0,
Because with the addition of more explanatory variables you are able to explain more variation although the F ratio would be lower.,1,1,0,0,0,1,1,0,0,0,0,0,0,0,
I am assuming because more error from the empty model is being explained. You will have less unexplained variation.,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
"I think this is true since we are taking two different factors into account on the two-predictor model, it gives us a better change of having less error.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"The 2-predictor model should explain more variation that the one parameter models, so a residual should be less far away from the model. A sum of these residuals should be overall lower than the SS error of the one parameter models because the absolute values of each residual would be lower.",0,1,0,0,0,0,0,0,0,1,0,0,0,0,
"The two-predictor model explains more variation, therefore the sum of squares is reduced resulting in a lower SS error. The SS error is the distance from each score to the mean of the model.",0,1,0,0,0,0,0,0,0,1,0,0,0,0,
"with 2 parameters in the model, there would be more variation explained thus less error (lower SS Error) and more error explain/reduced (higher SS Model), while keeping the SS total the same since the outcome variable remains the same",0,1,1,1,0,0,0,0,0,0,0,0,0,0,
because wen you add other parameters in it should explain more of the variation increasing the SS model and as a result decreasing the SS error,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"The SS Error is the sum of squares reduced from data to complex model's prediction. Results closer to the complex model's prediction(or slope) means there will be less sum of squares. Therefore, a lower sum of squares error is better because that means the data was closer to the complex models prediction. Because both chocolate and sugar content correlate with higher test scores we would assume a more complex model would even produce a lower sum of squares.",1,0,0,0,0,0,0,0,0,1,1,0,0,0,
"The chocolate model and sugar percent model both do a good job of predicting winpercent. Aggregated together, they should do an even better job of predicting winpercent. Therefore, since the two-predictor model is a better model, there should be less leftover variation from the data points to the two-predictor model compared to either the chocolate model or the sugarpercent model individually.",0,0,0,0,1,0,0,0,0,1,1,0,0,0,
"I think that the two predictor model should have a lower SS error because we are adding more explanatory variable to our model. If these explanatory variables prove to be statistically significant, then they reduce the ss error. We have less error in our model!",1,0,0,0,0,0,0,0,0,0,0,0,1,0,
"Since we have two parameters, we are more likely to explain the variation within the empty model. In another sense, more error has been reduced when we have an additional parameter.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Well, I think this is true because if you add more variables, you add more variability so you will less explain your model.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
because there is less error because there are more variables,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"The two-predictor model will explain more of the variation, meaning that the SSmodel will be larger, causing the SSerror to be lower.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
"When you add chocolate and sugar together as explanatory variables for the model, there is more explanation for the variation in the model. This means that the error of the model is reduced. When the error of the model is reduced, the sum of square errors is reduced. Explanatory variables being added will only decrease the sum of squares for error.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Because the two predictor model explains more error than just the one parameter model; so there is less leftover error.,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
I would assume the model should have a lower SS error because there are more variables taken place with both chocolate and sugarpercent as the explanatory variables. These is less chance for a variable to be further away from the estimation.,1,1,0,0,0,0,0,0,0,1,0,0,0,0,
because the model is explaining more which means that it will have less SS error than any of the models alone.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
It should have a lower SS error than either the chocolate model or the sugarpercent model because it is including another explanatory variable.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"The two-predictor model should have a lower SS error because it is based on the distances of each score from the mean of its group, and the more parameters we add to a model the less leftover error there is after subtracting out the model.",1,0,0,0,1,0,0,0,0,1,0,0,0,0,
"Each deviation of the group of mean added lowers the SS error, increases the SS Model and increases the PRE.",0,0,1,0,1,0,0,0,1,0,0,0,0,0,
"Because by adding more explanatory variables, you are decreasing the amount of error from your data points to your complex model.  More explanatory variables you have, the more variation will be explained.",1,1,0,0,0,0,0,0,0,1,0,0,0,0,
"Because it explains more variation that just either the chocolate model or the sugarpercent model. More error is explained from the empty model, thus the lower overall SS error left over.",0,1,0,0,1,0,0,0,0,0,0,1,0,0,
"Because we are using more variables to explain the error, therefore it would be lower.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
When you add an extra explanatory variable you are making a more detailed test about the outcome variable. The stronger the connection the lower the ss error will be.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,stronger connection
"I believe that this is true because SS total would be the same value for the two-predictor model, meaning that this model would need to reduce error even more so. The two models are both based on residuals from the mean of the same outcome variable which is winpercent.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,
"If a new model was created from the same outcome data frame, the sugarpercent model would be smaller than the chocolate mode. However, if a new model was made from randomized data frame, any situation is possible.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
maybe it explains more error when two variables are presented. so the total errors explained are much more than each separately,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
because the two predictor model explains more error from the empty model than chocolate or sugarpercent model on their own,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Because there is more error reduced since there are now two explanatory variables to explain the effects,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"This would be true because since the chocolate model and the sugar percent model  both explain the variation in winpercent, (both p-values are less than .05), then combining them into a two-predictor model would lower the SS error. This is because there are 2 things that are helping eliminate error. The word equation would be: Win Percent = Chocolate + Sugar Percent + Other Stuff.",0,1,0,0,0,0,0,0,0,0,1,0,1,0,
because more error is explain,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"The model should have a lower SS error than both models because by adding more parameters, the error variation around the mean is reduced for each parameter. Because the SS error is based on the distance of each value from the mean of each parameter, it will be smaller since the error variation is reduced.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,
Because when you add an extra explanatory variable it will lower the SS error because it explains more variation just by adding that extra parameter.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Since you are adding another explanatory variable to the model, you can assume that the error will decrease. Another explanatory variable in the model will have less variation, thus leading to less error.  There is a level of improvement (in the model) that results from adding in an explanatory variable(s).",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
This should be true because it is determining two variables at the same time with a lower p value than either model.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
By adding a second predictor we've enforced the rejection of empty model and lower SS error indicates that.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The SSerror should be lower because we are explaining more variation in the new model which would lead us to have less error unexplained from the model.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"more error is explained by either chocolate or sugarpercent, therefore ss error left is less than before.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"The two-predictor model received a lower SS error than either the chocolate or sugarpercent model because it was able to explain the variation more. When more variation is explained, error is reduced.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"I believe that the two-predictor model should have a lower SS error than either the chocolate model or the sugarpercent model because this is a complex model. SS leftover from the empty model will be greater than SS left over from complex model. Therefore, the empty model has more error around it as opposed to the complex model.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,
"The two-predictor model will have a lower SS error because when the chocolate model and sugarpercent model are combined, there will be more variation explained than only from either one model. When more variation is explained, the SS error will be lowered.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,
"Because in general, adding a second explanatory variable to your model is going to explain more variation in the empty model.",1,1,0,0,0,0,0,0,0,0,0,1,0,0,
"There should be less SS error because there are more parameters to take into account, so that means there is more explanation in variation and thus less error.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"The two-predictor model should have a lower SS error because a better model have higher PRE, smaller SS error and higher SS model and the PRE is based on the value of SS model and SS total.",0,0,1,1,0,0,0,0,1,0,0,0,0,0,
"The two-predictor model adds parameters to the overall model making it a three-group model (w/ three parameters). The more parameters we add to the model the more we reduce the leftover variation. Thus, since SS error is the unexplained error leftover after taking out the complex model it becomes lower.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
Because it explains the total variation in the model.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
because that would mean that there is less error in the data. the 2-group model has explained more than the 2 individual models.,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
"I think that this is true because there are more parameters being used, so more variation should be explained.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"SS Error indicates the error that is left unexplained from the complex model. Since we are adding more variables, we explain more variation. Thus, additional parameters allow us to reduce the error left unexplained when comparing to only one parameter.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"by adding more predictor, we reduce leftover error and explaining more variation in our outcome variable.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
The SS error will be lower in the two-predictor model because is only taking the squares based on deviations of the data from complex model rather than the empty model which will reduce error.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"because with more explanatory variables we can minimize the SS total as much as possible, but we need to take into account not to use lots of degrees of freedom.",1,0,0,0,0,1,1,0,0,0,0,0,0,0,
"The two-predictor model should have a lower SS error because the empty model is meant to be the best fit model for comparison to complex data. If the empty model had a greater SS error, then we would have to reject it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"This is true because the two-predictor model should explain more variation than either the chocolate or the sugarpercent models. By using the two-predictor model, it will have higher SS model, making the SS Error lower. SS Error is the difference between the data and the complex model's prediction, therefore, if the complex model is better, than the difference will be lower, so the SS Error will be lower.",0,1,1,0,0,0,0,0,0,1,0,0,0,0,
I think it is lower because it explains more.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Because the two-predictor does not specify the explanatory variable enough that therefore the error explained using this predictor is lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
It should be lower because the F-ratio and PRE would be larger.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Because more variation is explained as more explanatory variables are added to the equation.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"With using the two-predictor model, you are using two parameters (chocolate and sugarpercent) instead of 1. Since you are involving an additional explanatory variable, you will inevitably explain more variation in the outcome variable (winpercent).",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"because you are using more variables to account for variation and if these two variables together account for more of the variation, then the SS error will be lower",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"I think this is true because more variation will be explained by the addition of another explanatory variable, so there will be less deviation, thus reducing the error.",1,1,0,0,0,0,0,0,0,1,0,0,0,0,
"This is because another parameter is added to the model. Adding parameters usually leads to a decrease in the SS error, and this model has three!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"This is because the two-predictor model will include the reductions in error that result from including explanatory variables. Combined, the SS error should be lower than either of the two former complex models.",1,0,0,0,0,0,0,0,0,0,1,0,0,0,
because there are two variables that explain the variability; more degrees of freedom are used,1,0,0,0,0,0,0,0,0,0,0,0,0,0,degrees of freedom
"Because you are using more degrees of freedom and both models explain some error . Thus if we combine and increase overall error then we would reduce the error as well. This is because SStotal = SSModel + SSError, if we increase SSModel, then we must decrease SSError in order to have the same SStotal.",1,1,1,0,0,0,0,0,0,0,1,0,0,0,degrees of freedom
The SS Error should be lower because the SS is less,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Blah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Because you are using data from a pre-existing sample - so you are re sampling. You will get sampling variation from doing that.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,re-sampling
Because you are adding a new parameter estimate. If you add a new estimate there must be less error. example: empty model->complex model,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"This is true because regardless of the degrees of freedom used, more complex models always explain more error. Thus the SS error decreases",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
A two group model explains more of the previously unexplained variation from the empty model.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
The two-predictor model should have a lower SS error than either the chocolate model or the sugarpercent model as combining these two models would yield both a higher SS Model and a  higher PRE.  SS Model would increase as more variation is explained relative to the empty model and SS Error would decrease.,0,1,1,0,0,0,0,0,1,0,1,0,0,0,
"because the model can explain more variance, so the model error is greater, while the total error is the same, so ss error has to be lower",0,1,1,1,0,0,0,0,0,0,0,0,0,0,
"I'm not sure, maybe because more error is being explained in the new model than is being added?",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because with a two-predictor model, there is more that is explained in the model which should cause the amount of left over error from the model to be lower.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,
"By adding predictors, you should be explaining more variation. Therefore, you will have less leftover error (SS error).",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
Lower SS Error means more variation is explained.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"This is because this is going to be a more nuanced predictor, so it's probably going to be better at making predictions, lowering the error from the data to the model's predictions",0,1,0,0,0,0,0,0,0,1,0,0,0,1,
Because there is more variation being explained so there is less leftover variation to be explained,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The SS error should be lower than either the chocolate and the sugar model because more of the leftover variation from the empty model can be explained using the two variables. If more of the variation can be explained, the error will decrease",0,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Since there are more explanatory variables that contribute to explaining the total error, there should be lower SS error for the two-predictor model compared to either of the single predictor model.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"This should be the case because adding another explanatory variable further reduces variation, therefore the residual error from the complex model to the data itself is less, thus, a smaller SS error.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,
"Because since you have more explanatory variables, the amount of error reduced (Model) is higher, leaving you with a smaller SS error since Error = Total - Model",1,0,1,0,0,0,0,0,0,0,0,0,0,0,
Because it is basically (SSTotal-SSchocolateModel-SSsugarpercentModel) so it'll be less than both individual SS error,0,0,0,1,0,0,0,0,0,0,1,0,0,0,
"Because the two-predictor model should explain more variation than the others. Therefore, if more variation is explained by the model, then the SS error should decrease. Therefore, the two predictor model should have a lower SS error.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
I think it would have a lower SS error because more variation would be explained by using chocolate AND sugarpercent than just using chocolate or sugarpercent alone.,1,1,0,0,0,0,0,0,0,0,1,0,0,0,
This must be true because we are combining two explanatory variables that are both statistically proven to be (relatively) good at explaining the variation of winpercent. Having both should be able to explain variation even better than one on its own.,1,1,0,0,0,0,0,0,0,0,0,0,1,0,
"This is true because we are using the same outcome variable from the same set of data. Thus, SS Total will remain the same. Additionally, since we are using both predictors - not just chocolate or sugarpercent, we should get the prediction benefits of BOTH groups. This means our prediction will come from both chocolate and sugarpercent, meaning that our prediction should be more accurate than just chocolate or just sugarpercent. Since our prediction should be more accurate than one or the other, it follows that SSmodel explains more variation in SStotal than in either of the single models. Thus, SSerror for the two-predictor model should be lower than either of the single models, as it uses both variables to generate a more accurate prediction and will explain more variation in winpercent for its model than any of the single models.",1,1,1,1,0,0,0,0,0,0,1,0,0,0,
"You have 2 variables to explain variation as opposed to only 1 variable in either of the other models. Therefore, less variation should be left unexplained by the complex model.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,
"It should be lower because hopefully the combined model lowers the error, that is that it is reduced, so the total error should be less.",0,0,1,0,1,0,0,0,0,0,1,0,0,0,
"This is true because the more variables we add to explain variation, the less leftover variation should remain. Basically, models should explain more error, and therefore SS error for the two-predictor model should be lower than either model alone.",1,1,1,0,1,0,0,0,0,0,1,0,0,0,
"Because each accounts for some of the error in the model, combining the two will combine the amount of error they predicted together. As a result, your model will predict scores more accurately as a result of having more information accounted for. Thus, residuals to the model will be smaller, and therefore your SSerror will decrease.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,
a lower SS error means that there has been more predicted by the model than in the previous model. It makes sense that two predictor values would be more accurate than one,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because the two-predictor model will explain more variation than either of the one-predictor models. Therefore, SS error will be lower to compensate for a higher SS model, as the SS total will have to be the same.",0,1,1,1,0,0,0,0,0,0,0,0,0,0,
"Because these two parameters together will be able to explain more variation, which means the model will be better. If the model explains more then the error will be less.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Because it is able to explain more error.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
"because we already know that they both separately explain some of the variation, so when you combine them it adds their variation to explain even more",1,1,0,0,0,0,0,0,0,0,1,0,0,0,
"The SS error is the error from the model to the data points, AKA any error not explained by the models. Both of the one-predictor models reduce some of the SS error, so it makes sense that putting these models together would reduce the SS error even more. F would be affected however, as another degree of freedom is used in the two-predictor model.",1,1,0,0,0,1,1,0,0,0,1,0,0,0,
using the two-predictor model should explain more variation than chocolate or sugarpercent  model by themselves. This means there is less error left unexplained,1,1,0,0,1,0,0,0,0,0,0,0,0,0,
The two-predictor model will explain more variation than a one-predictor model because two explanatory variables are being used. This means that the SSmodel would increase and there would be a lower SS error which is the data not explained by the model.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
Because the additional parameters will reduce the error from the empty model,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"The two predictor model should have an SS error that is lower than either of the models because two explanatory variables are used to explain or view the relationship between one outcome variable then more variation can be explained by both models, thus reducing the error in the two predictor model.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"This is true because when you add more explanatory variables, you decrease error because you are explaining more variation",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"The more parameters added, the more we can directly find the relationship between the variables and there would be less error.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
The two-predictor model takes into account both the variation taken into account by chocolate and sugarpercent model. The SS error for the two-predictor model cannot be higher because it accounts for both of the variability the other models have accounted for and thus the predictions will be more accurate and the errors lower.,1,1,0,0,0,0,0,0,0,0,1,0,0,1,
I think that is true because there are more parameters being used to explain the variation in the winpercent of the chocolate.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Since there is another parameter added, there is less error within each group.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"This is true because the two-predictor model does a better job of explaining variance, so there is less leftover error.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,
It should have a lower SS error because the two-predictor model would explain more variation in the data than a complex model with only one explanatory variable.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"It would have a lower SS error than the other models because we would expect it to explain more variation since it is taking into account more parameters, and thus the SS error would be reduced.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"By adding another predictor, you are adding another method of explaining the variation. Whether or not the predictor added is good doesn't matter, SS model will always be above zero, and since SS error = SS total - SS model, this will always be lower if you add more quantity to the SS model (by adding another predictor).",1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"Because as you add more variables in your explanation of an outcome your measurement and model become more precise, and thus there is less error.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"It should have a lower SS error because SS error is leftover error unexplained by the model. If your model is using two explanatory variables, it should be explained more error. Therefore, there will be less unexplained variation and a lower SS error.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"I think this is true since their combined SS model should be much greater than both the value for the chocolate model and the value for the sugarpercent model. This means that the SS error that is left has to be lower, since more variation is explained through adding another  explanatory variable.",1,1,0,0,0,0,0,0,0,0,1,0,0,0,
"The SS error is lower because the two parameter model is better able to explain variation than either of the one parameter models, reducing SS error and increasing SS model.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,
There are more predictors which inherently leads to more variation being explained,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"because both variables explain some amount of variation/error in the empty model so when they are combined, the amount of error explained should increase. Thus the error remaining is reduced.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"I think this is true because since both of these variables showed an affect on the win percent, having both of these variables would decrease the amount of error left unexplained by the model compared to the model just using one of the variables to decrease the error.",0,1,0,0,0,0,0,0,0,0,0,0,1,0,
"Because if you add in another predictor or explanatory variable, the model becomes more complex and is better able predict winpercent. Therefore, there would be lest error leftover after using this more complex model.",1,1,0,0,1,0,0,0,0,0,0,0,0,1,
"This is because the two-predictor model should reduce more error, and thus leave less SS error that is still present in the model as it contributes to SS total.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,
"we are taking more parameters to explain the variation, which is a better indicator than just looking at one",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"For each individual model, it explains a part of SS total. They are different parts of SS total. So when we combine the two model together, we get a larger SS model that explains variation in SS total and thus a lower SS error",1,1,1,0,0,0,0,1,0,0,1,0,0,0,
"I think that this is true because adding on these two variables should increase the proportion of variation explained by the explanatory variables. Adding on a variable to the model should only decrease the sum of squares, and therefore decrease the SS error.",1,1,0,0,0,0,0,0,1,0,0,0,0,0,
"Lower SS error means that the two-predictor model is accounting for more differences between the predicted and actual values than the chocolate model or the sugar percent model, so if it is lower that means there is less error leftover after the model is accounted for.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,
There is less residual between the data point and the complex model prediction because more variation is explained with the two predictor model meaning the complex estimate will be closer than the empty models estimate or either one of the one predictor models estimates.,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
"i think that this happened because the sugarpercent does not explain anything at all, maybe it makes it worse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"This is because the greater the number of explanatory variables, the greater the SS Model. Since SS Total remains the same and SS Model increases, SS error will decrease. Thus, SS error for the two-predictor model is lower than either the chocolate model or the sugarpercent model.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,
"Because adding another explanatory variable to a model almost always explains more variation than if there are fewer explanatory variables, and therefore a model including this extra variable should have reduced leftover unexplained variation.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"By adding more predictors to the complex model, more error is being explained, which lowers the SS error.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Both models combined should lower the SS error because you are combining the explanatory power of both models, which would increase SS model and decrease SS error.",0,1,1,0,0,0,0,0,0,0,1,0,0,0,
"Because the the higher the explanation in variance, the lower the SS error would be",0,1,0,0,0,0,0,0,0,0,0,0,0,0,
I think this is true because the two-predictor model would explain more variation in winpercent than either the chocolate model or the sugarpercent model since it takes both chocolate and sugarpercent into consideration.,1,1,0,0,0,0,0,0,0,0,1,0,0,0,
"The residuals from the model should be less than the residuals from the simpler models, as the new model should explain the variation in winpercent even more than either of the simpler models alone.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,
"I think this is true because the sugarpercent and chocolate models both reduce error around their models, so adding the two models together should lower the amount of error even more, thus explaining more variation.",0,1,0,0,0,0,0,0,0,1,1,0,0,0,
"Because you are now concentrating on the two variables (chocolate and sugarpercent) rather than just one or the other, so part of the variation would have been explained by chocolate or sugar. the total SS would have remained the same, but the error would have decreased",1,1,1,1,0,0,0,0,0,0,1,0,0,0,
"Because using more parameters/explanatory variables explains more variation in/leaves less leftover error unexplained from the SS total from the empty model, than a single parameter/explanatory variable",1,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The SS model should increase because the more complex, two-predictor model will reduce the error. Since SS model and SS error add up to the stagnant SS total, the SS error must be lower. SS error lowers because the two-predictor model explains more variation.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,
Since the new model is a two predictor that means it has ore information to look at and therefore more information to be able to get a bigger picture. With more to work with it gives a better prediction and so there is less error. There is less error because it is no longer an empty model but instead is more complex so it explains more.,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
"Because the two variables are explaining variation together in a single model, combined they would reduce more SS error than either would alone in a model.",1,1,0,0,0,0,0,0,0,0,1,0,0,0,
"I think this is true because we are adding another parameter to the model. So of course it would explain more error, which means having a lower SS error.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Because the additional model should reduce more error from the empty model, meaning that SS Model is greater. Given that SS Total stays the same because the outcome variable is the same, and SS Model is greater, SS Error is smaller.",1,0,1,1,0,0,0,0,0,0,0,1,0,0,
"The total SS is equal to the Model and Error SS. By adding more parameters, we can increase the amount of variation explained, meaning that we can increase the SS Model. Since SS Total will stay the same, this then means that SS Error must decrease.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,
this is true because they are using only part of the chocolate and sugar data,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Maybe cause using more variables to determine the explanatory variable gives you more information so it becomes easier to determine what it is narrowing the confidence interval,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
